,geoid,perim (b),w_perim (b),area (b),w_area (b),a/p^2 (b) 0.5,w_a/p^2 (b) 0.5,rank_a/p^2 (b) 0.5,rank_w_a/p^2 (b) 0.5,a/p^2 (b) 0.1,w_a/p^2 (b) 0.1,rank_a/p^2 (b) 0.1,rank_w_a/p^2 (b) 0.1
51,0603,961,13945,24472,702906,0.026498585305585905,0.003614599742033222,309.0,86.0,0.026498585305585905,0.003614599742033222,309.0,86.0
52,0614,356,26302,8375,702905,0.06608224971594495,0.001016059371235537,126.0,200.0,0.06608224971594495,0.001016059371235537,126.0,200.0
53,0615,302,17594,10878,702904,0.11927108460155256,0.002270737015467246,43.0,127.0,0.11927108460155256,0.002270737015467246,43.0,127.0
54,0631,601,62636,8195,702905,0.02268819853765632,0.00017916311379571713,341.0,389.0,0.02268819853765632,0.00017916311379571713,341.0,389.0
55,0627,666,36912,8641,702905,0.019481192904616328,0.0005158951894678359,366.0,279.0,0.019481192904616328,0.0005158951894678359,366.0,279.0
56,0607,320,29479,8552,702904,0.083515625,0.00080885471334088,86.0,235.0,0.083515625,0.00080885471334088,86.0,235.0
57,0613,211,11851,11534,702906,0.2590687540711125,0.00500480607517465,11.0,69.0,0.2590687540711125,0.00500480607517465,11.0,69.0
58,0621,1065,26791,26314,702904,0.023199982366814344,0.0009793054377637514,337.0,207.0,0.023199982366814344,0.0009793054377637514,337.0,207.0
59,0640,531,59375,6122,702904,0.021712222612347096,0.0001993832952908587,349.0,381.0,0.021712222612347096,0.0001993832952908587,349.0,381.0
60,0632,552,41669,8379,702905,0.027498818525519848,0.0004048279380014034,302.0,310.0,0.027498818525519848,0.0004048279380014034,302.0,310.0
61,0608,962,25087,42762,702905,0.04620700982447344,0.001116861120963177,187.0,186.0,0.04620700982447344,0.001116861120963177,187.0,186.0
62,0646,403,32996,6492,702906,0.039973154197119616,0.0006456165587159192,215.0,259.0,0.039973154197119616,0.0006456165587159192,215.0,259.0
63,0620,372,13194,17195,702906,0.12425569429991906,0.004037795233036528,39.0,77.0,0.12425569429991906,0.004037795233036528,39.0,77.0
64,0624,510,5299,22548,702904,0.08668973471741638,0.02503272772805944,80.0,22.0,0.08668973471741638,0.02503272772805944,80.0,22.0
65,0633,701,52909,10339,702904,0.021039843223762265,0.0002510943312949497,355.0,363.0,0.021039843223762265,0.0002510943312949497,355.0,363.0
66,0643,471,46724,7574,702904,0.03414156986310015,0.0003219704275019581,249.0,338.0,0.03414156986310015,0.0003219704275019581,249.0,338.0
67,0648,437,32898,10295,702906,0.05390927323282836,0.0006494687479692147,155.0,257.0,0.05390927323282836,0.0006494687479692147,155.0,257.0
68,0611,403,15790,12279,702906,0.07560541595601229,0.0028192461137932514,105.0,110.0,0.07560541595601229,0.0028192461137932514,105.0,110.0
69,0630,407,47249,6443,702904,0.0388954958979529,0.00031485512880146315,222.0,340.0,0.0388954958979529,0.00031485512880146315,222.0,340.0
70,0652,439,32716,8717,702904,0.045231189128325404,0.0006567130033898419,193.0,256.0,0.045231189128325404,0.0006567130033898419,193.0,256.0
71,0612,172,18379,6140,702905,0.20754461871281774,0.002080907986802276,17.0,134.0,0.20754461871281774,0.002080907986802276,17.0,134.0
72,0626,349,15750,12942,702905,0.10625528526038375,0.0028335802469135803,56.0,109.0,0.10625528526038375,0.0028335802469135803,56.0,109.0
73,0651,630,32427,15763,702906,0.039715293524817334,0.0006684727487826703,217.0,254.0,0.039715293524817334,0.0006684727487826703,217.0,254.0
74,0801,688,66103,12967,718457,0.02739445308274743,0.0001644214375088611,303.0,400.0,0.02739445308274743,0.0001644214375088611,303.0,400.0
75,0804,982,14482,44232,718456,0.04586840107681651,0.003425650795740875,189.0,90.0,0.04586840107681651,0.003425650795740875,189.0,90.0
76,0806,714,42102,11695,718456,0.022940548768527018,0.00040531690918648925,339.0,309.0,0.022940548768527018,0.00040531690918648925,339.0,309.0
77,0802,843,21465,28764,718457,0.04047567786628842,0.0015593334486896772,211.0,154.0,0.04047567786628842,0.0015593334486896772,211.0,154.0
78,0807,610,27276,13839,718456,0.0371916151572158,0.0009656923976963601,230.0,209.0,0.0371916151572158,0.0009656923976963601,230.0,209.0
79,0803,862,4485,61489,718457,0.08275283832451376,0.03571707500164676,90.0,15.0,0.08275283832451376,0.03571707500164676,90.0,15.0
80,0805,318,6335,28076,718457,0.2776393338871089,0.01790224688514031,9.0,30.0,0.2776393338871089,0.01790224688514031,9.0,30.0
81,0904,378,22487,11499,714819,0.08047787016040985,0.0014136211940672543,95.0,162.0,0.08047787016040985,0.0014136211940672543,95.0,162.0
82,0905,779,49274,14157,714820,0.02332901039975875,0.00029441576193369986,335.0,347.0,0.02332901039975875,0.00029441576193369986,335.0,347.0
83,0901,616,39440,11786,714820,0.03106025468038455,0.00045953953729494873,275.0,294.0,0.03106025468038455,0.00045953953729494873,275.0,294.0
84,0903,489,36708,11509,714819,0.04813044441935255,0.0005304868728382492,177.0,276.0,0.04813044441935255,0.0005304868728382492,177.0,276.0
85,0902,511,19896,18536,714819,0.07098624775487226,0.0018057787709600175,114.0,142.0,0.07098624775487226,0.0018057787709600175,114.0,142.0
